election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
sc_borders_2022_ward10,6,0.836916538189602,0.8514031321437971,1.0,0.9166666666666666
north_ayrshire_2017_ward2,6,0.7869216174688848,0.7929146616411336,0.8333333333333334,0.95
aberdeenshire_2022_ward15,6,0.7511081310580976,0.7511081310580976,0.8333333333333334,0.8666666666666667
sc_borders_2012_ward1,6,0.759247718008788,0.759247718008788,0.9166666666666666,0.9166666666666666
moray_2022_ward8,6,0.8559161524609119,0.8559161524609119,0.7777777777777777,0.9166666666666666
highland_2012_ward17,6,1.0,1.0,1.0,1.0
eilean_siar_2012_ward2,6,1.0,1.0,1.0,1.0
orkney_2022_ward4,6,1.0,1.0,1.0,1.0
north_lanarkshire_2022_ward16,6,0.9164549005433321,0.9164549005433321,0.9166666666666666,0.9333333333333333
south_ayrshire_2022_ward7,6,0.900379817380108,1.0,0.9166666666666666,0.9166666666666666
midlothian_2017_ward5,6,0.7542846387818731,0.7542846387818731,0.8333333333333334,0.9
eilean_siar_2017_ward8,6,0.873443224457461,1.0,1.0,0.9333333333333333
orkney_2022_ward3,6,0.7441147999336013,0.7441147999336013,0.8333333333333334,0.9666666666666667
aberdeen_2017_ward10,6,0.6594677410524412,0.6594677410524412,0.8333333333333334,0.8833333333333333
south_ayrshire_2022_ward6,6,0.9589633026185368,1.0,0.9166666666666666,0.9666666666666667
sc_borders_2012_ward4,6,0.8566779837617919,1.0,1.0,0.9833333333333333
aberdeenshire_2017_ward2,6,1.0,1.0,0.9166666666666666,0.9333333333333333
south_lanarkshire_2017_ward16,6,0.9226970004805641,0.9247413092748479,1.0,0.9666666666666667
renfrewshire_2012_ward10,6,0.9182550593530033,1.0,1.0,0.95
south_lanarkshire_2012_ward10,6,0.9336568466088043,0.9336568466088043,0.861111111111111,0.9166666666666666
south_ayrshire_2017_ward1,6,0.9528899591284579,0.9694471335883384,0.9444444444444443,0.9166666666666666
aberdeenshire_2012_ward9,6,0.8902124328857561,1.0,1.0,0.95
north_ayrshire_2017_ward8,6,0.8787259807601154,1.0,0.9444444444444443,0.9333333333333333
perth_kinross_2017_ward3,6,1.0,1.0,0.9166666666666666,0.9333333333333333
south_ayrshire_2012_ward2,6,0.8913976216168089,1.0,0.9444444444444443,0.8666666666666667
dumgal_2012_ward3,6,0.913858401155354,1.0,1.0,0.95
south_ayrshire_2017_ward3,6,0.7524832608154641,0.9238829694096409,1.0,0.8833333333333333
north_ayrshire_2022_kilwinning,6,0.7439318223683107,0.7439318223683107,0.9444444444444443,0.9166666666666666
east_renfrewshire_2012_ward6,6,0.8401321318330335,0.9424184204772795,0.9166666666666666,0.95
east_dunbartonshire_2012_ward6,6,0.7665755206408778,1.0,1.0,0.9333333333333333
north_lanarkshire_2017_ward5,6,0.6934283055052828,0.6934283055052828,0.8333333333333334,0.8833333333333333
aberdeenshire_2017_ward12,6,0.8737349834135522,0.9701733675219985,0.9444444444444445,0.9333333333333333
sc_borders_2017_ward6,6,0.8286786102751864,0.8286786102751864,1.0,0.95
highland_2017_ward15,6,0.8088111064528153,0.8088111064528153,0.9166666666666666,0.95
falkirk_2017_ward2,6,0.7800039019060689,0.9591875657966608,0.9166666666666666,0.9333333333333333
angus_2012_ward7,6,0.9097514363924266,0.9594764220920553,1.0,0.95
south_lanarkshire_2012_ward20,6,0.8419630977590669,1.0,1.0,0.9666666666666667
aberdeenshire_2012_ward6,6,0.7272791710758834,0.9221593640475652,0.9166666666666666,0.95
east_dunbartonshire_2022_ward2,6,0.735509851666716,0.8098509357102802,1.0,0.9166666666666666
aberdeen_2022_ward7,6,0.744420560247638,0.7911059779127825,0.9166666666666666,0.9
perth_kinross_2022_ward6,6,0.7279705197086751,1.0,1.0,0.9166666666666666
aberdeen_2012_ward11,6,0.9739512471147422,1.0,1.0,0.9833333333333333
edinburgh_2017_ward9,6,0.7438959833152992,0.8703699737713022,0.9166666666666666,0.9833333333333333
east_lothian_2017_ward4,6,0.8305140656859249,1.0,1.0,0.95
falkirk_2012_ward5,6,0.8152261860513644,1.0,0.9166666666666666,0.9833333333333333
falkirk_2022_ward7,6,0.8034080101598265,0.8150532036231458,0.9166666666666666,0.9333333333333333
sc_borders_2012_ward2,6,0.8826262663000097,1.0,1.0,0.9666666666666667
east_ayrshire_2022_ward7,6,0.6937060031616417,0.6937060031616417,0.8888888888888888,0.9
south_lanarkshire_2012_ward14,6,0.8607616449988761,1.0,0.9166666666666666,0.9666666666666667
falkirk_2022_ward5,6,0.759953037580734,0.9718834106671208,0.9166666666666666,0.9166666666666666
moray_2017_ward6,6,0.8920098536200677,1.0,0.9166666666666666,0.9
midlothian_2022_ward5,6,0.8032931350449094,0.8218514064031095,0.9166666666666666,0.8833333333333333
dumgal_2017_ward12,6,0.7540540602742384,0.886133889381216,0.8333333333333334,0.9333333333333333
highland_2022_thurso,6,0.7326952766082043,0.7326952766082043,0.8888888888888888,0.9833333333333333
perth_kinross_2017_ward1,6,0.9281737732427078,0.9400980988032517,0.9166666666666666,0.9333333333333333
fife_2012_ward7,6,0.7201062550911249,0.7201062550911249,0.8333333333333334,0.9666666666666667
fife_2012_ward20,6,0.7755050346516922,1.0,1.0,0.9333333333333333
eilean_siar_2017_ward9,6,0.8366827593192798,1.0,0.8888888888888888,0.9833333333333333
east_ayrshire_2012_ward1,6,0.8133868987630948,0.9274849072213341,0.9166666666666666,0.8833333333333333
stirling_2012_ward3,6,0.7967433394964661,0.8948146129266721,0.9444444444444443,0.9166666666666666
north_lanarkshire_2022_ward9,6,0.8967502239875034,1.0,1.0,0.8833333333333333
south_lanarkshire_2012_ward7,6,0.8787998952023066,1.0,0.9166666666666666,0.95
east_ayrshire_2017_ward3,6,0.8608497669491624,1.0,1.0,0.9333333333333333
sc_borders_2017_ward10,6,0.8497903737645952,0.8732612003535267,1.0,0.95
east_lothian_2012_ward7,6,0.77580070387952,0.77580070387952,0.8333333333333334,0.9
dumgal_2017_ward4,6,0.7594255217124581,0.7594255217124581,1.0,0.95
north_lanarkshire_2022_ward17,6,0.6766757255279171,0.6766757255279171,0.7777777777777777,0.8333333333333334
dumgal_2012_ward8,6,0.7468884388520886,1.0,1.0,0.9
falkirk_2017_ward5,6,0.7960738903241804,0.8133659648933921,1.0,0.9833333333333333
highland_2017_ward7,6,0.718959704727237,0.720144073808442,0.8333333333333334,1.0
falkirk_2017_ward6,6,0.8157101730926383,1.0,1.0,0.9166666666666666
inverclyde_2012_ward2,6,1.0,1.0,1.0,0.9833333333333333
glasgow_2022_ward12,6,0.7710797486330495,1.0,1.0,0.95
angus_2012_ward2,6,0.7774030591281137,1.0,0.9166666666666666,0.95
south_ayrshire_2017_ward2,6,0.774021155877893,1.0,0.9444444444444443,0.8833333333333333
aberdeenshire_2022_ward16,6,0.7673688998271712,0.7673688998271712,0.9166666666666666,0.8833333333333333
north_lanarkshire_2017_ward18,6,0.7683999210664767,1.0,1.0,0.85
fife_2017_ward20,6,0.8558648268201776,1.0,1.0,0.9666666666666667
south_lanarkshire_2022_ward17,6,0.7467323713344597,0.7467323713344597,0.9166666666666666,0.95
north_ayrshire_2012_ward8,6,0.7874977476724788,0.7874977476724788,0.7777777777777777,0.8166666666666667
south_lanarkshire_2012_ward3,6,0.7367820958496525,0.7367820958496525,0.8333333333333334,0.85
south_lanarkshire_2017_ward11,6,0.7553593468698663,1.0,1.0,0.95
north_lanarkshire_2022_ward6,6,0.7292997544227873,1.0,0.9166666666666666,0.9
argyll_bute_2022_ward2,6,0.8511892228239583,1.0,1.0,1.0
moray_2022_ward6,6,0.8009494995174703,1.0,1.0,0.9
north_lanarkshire_2012_ward1,6,1.0,1.0,1.0,0.9666666666666667
east_dunbartonshire_2017_ward1,6,0.7336724186915591,1.0,1.0,0.8333333333333334
renfrewshire_2022_ward12,6,0.9317834003615619,0.9317834003615619,1.0,0.95
north_lanarkshire_2012_ward4,6,0.7176985390776058,1.0,1.0,0.9166666666666666
west_lothian_2017_ward9,6,0.928702153689123,1.0,1.0,0.9666666666666667
argyll_bute_2012_ward7,6,0.9052921925803475,1.0,1.0,1.0
